Series ID,Year,Month,Value
LNS14000000,2024,11,4.2
LNS14000000,2024,10,4.1
LNS14000000,2024,9,4.1
LNS14000000,2024,8,4.2
LNS14000000,2024,7,4.3
LNS14000000,2024,6,4.1
LNS14000000,2024,5,4.0
LNS14000000,2024,4,3.9
LNS14000000,2024,3,3.8
LNS14000000,2024,2,3.9
LNS14000000,2024,1,3.7
LNS14000000,2023,12,3.7
LNS14000000,2023,11,3.7
LNS14000000,2023,10,3.8
LNS14000000,2023,9,3.8
LNS14000000,2023,8,3.8
LNS14000000,2023,7,3.5
LNS14000000,2023,6,3.6
LNS14000000,2023,5,3.7
LNS14000000,2023,4,3.4
LNS14000000,2023,3,3.5
LNS14000000,2023,2,3.6
LNS14000000,2023,1,3.4
CES0000000001,2024,11,159288.0
CES0000000001,2024,10,159061.0
CES0000000001,2024,9,159025.0
CES0000000001,2024,8,158770.0
CES0000000001,2024,7,158692.0
CES0000000001,2024,6,158548.0
CES0000000001,2024,5,158430.0
CES0000000001,2024,4,158214.0
CES0000000001,2024,3,158106.0
CES0000000001,2024,2,157796.0
CES0000000001,2024,1,157560.0
CES0000000001,2023,12,157304.0
CES0000000001,2023,11,157014.0
CES0000000001,2023,10,156832.0
CES0000000001,2023,9,156667.0
CES0000000001,2023,8,156421.0
CES0000000001,2023,7,156211.0
CES0000000001,2023,6,156027.0
CES0000000001,2023,5,155787.0
CES0000000001,2023,4,155484.0
CES0000000001,2023,3,155206.0
CES0000000001,2023,2,155060.0
CES0000000001,2023,1,154773.0
LNS11000000,2024,11,168286.0
LNS11000000,2024,10,168479.0
LNS11000000,2024,9,168699.0
LNS11000000,2024,8,168549.0
LNS11000000,2024,7,168429.0
LNS11000000,2024,6,168009.0
LNS11000000,2024,5,167732.0
LNS11000000,2024,4,167982.0
LNS11000000,2024,3,167895.0
LNS11000000,2024,2,167426.0
LNS11000000,2024,1,167276.0
LNS11000000,2023,12,167451.0
LNS11000000,2023,11,168127.0
LNS11000000,2023,10,167723.0
LNS11000000,2023,9,167897.0
LNS11000000,2023,8,167840.0
LNS11000000,2023,7,167113.0
LNS11000000,2023,6,167000.0
LNS11000000,2023,5,166823.0
LNS11000000,2023,4,166678.0
LNS11000000,2023,3,166690.0
LNS11000000,2023,2,166263.0
LNS11000000,2023,1,165871.0
LNS12000000,2024,11,161141.0
LNS12000000,2024,10,161496.0
LNS12000000,2024,9,161864.0
LNS12000000,2024,8,161434.0
LNS12000000,2024,7,161266.0
LNS12000000,2024,6,161199.0
LNS12000000,2024,5,161083.0
LNS12000000,2024,4,161491.0
LNS12000000,2024,3,161466.0
LNS12000000,2024,2,160968.0
LNS12000000,2024,1,161152.0
LNS12000000,2023,12,161183.0
LNS12000000,2023,11,161866.0
LNS12000000,2023,10,161280.0
LNS12000000,2023,9,161550.0
LNS12000000,2023,8,161500.0
LNS12000000,2023,7,161209.0
LNS12000000,2023,6,161004.0
LNS12000000,2023,5,160707.0
LNS12000000,2023,4,160962.0
LNS12000000,2023,3,160824.0
LNS12000000,2023,2,160301.0
LNS12000000,2023,1,160152.0
LNS13000000,2024,11,7145.0
LNS13000000,2024,10,6984.0
LNS13000000,2024,9,6834.0
LNS13000000,2024,8,7115.0
LNS13000000,2024,7,7163.0
LNS13000000,2024,6,6811.0
LNS13000000,2024,5,6649.0
LNS13000000,2024,4,6492.0
LNS13000000,2024,3,6429.0
LNS13000000,2024,2,6458.0
LNS13000000,2024,1,6124.0
LNS13000000,2023,12,6268.0
LNS13000000,2023,11,6262.0
LNS13000000,2023,10,6443.0
LNS13000000,2023,9,6347.0
LNS13000000,2023,8,6340.0
LNS13000000,2023,7,5904.0
LNS13000000,2023,6,5997.0
LNS13000000,2023,5,6117.0
LNS13000000,2023,4,5715.0
LNS13000000,2023,3,5866.0
LNS13000000,2023,2,5962.0
LNS13000000,2023,1,5719.0
CES0500000002,2024,11,34.3
CES0500000002,2024,10,34.2
CES0500000002,2024,9,34.3
CES0500000002,2024,8,34.3
CES0500000002,2024,7,34.2
CES0500000002,2024,6,34.3
CES0500000002,2024,5,34.3
CES0500000002,2024,4,34.3
CES0500000002,2024,3,34.4
CES0500000002,2024,2,34.3
CES0500000002,2024,1,34.2
CES0500000002,2023,12,34.4
CES0500000002,2023,11,34.4
CES0500000002,2023,10,34.3
CES0500000002,2023,9,34.4
CES0500000002,2023,8,34.4
CES0500000002,2023,7,34.3
CES0500000002,2023,6,34.4
CES0500000002,2023,5,34.4
CES0500000002,2023,4,34.3
CES0500000002,2023,3,34.4
CES0500000002,2023,2,34.5
CES0500000002,2023,1,34.6
CES0500000007,2024,11,33.7
CES0500000007,2024,10,33.7
CES0500000007,2024,9,33.7
CES0500000007,2024,8,33.7
CES0500000007,2024,7,33.7
CES0500000007,2024,6,33.7
CES0500000007,2024,5,33.7
CES0500000007,2024,4,33.7
CES0500000007,2024,3,33.8
CES0500000007,2024,2,33.7
CES0500000007,2024,1,33.6
CES0500000007,2023,12,33.8
CES0500000007,2023,11,33.7
CES0500000007,2023,10,33.8
CES0500000007,2023,9,33.8
CES0500000007,2023,8,33.8
CES0500000007,2023,7,33.8
CES0500000007,2023,6,33.8
CES0500000007,2023,5,33.8
CES0500000007,2023,4,33.8
CES0500000007,2023,3,33.9
CES0500000007,2023,2,33.9
CES0500000007,2023,1,34.0
